conglome,vivienda,hogar,result,nbi1,nbi2,nbi3,nbi4,nbi5
5294,4,11,1,0,0,0,0,0
5294,5,11,1,0,0,0,0,0
5294,108,11,1,0,0,0,0,0
5294,113,11,1,0,0,0,0,0
5294,116,11,1,0,0,0,0,0
5296,56,11,1,0,0,0,0,0
5296,57,11,1,0,0,0,0,0
5296,103,11,1,0,0,0,0,0
5296,104,11,1,0,0,0,0,0
5296,149,11,1,0,0,0,0,0
5296,150,11,1,0,0,0,0,0
5296,153,11,1,0,0,0,1,0
5297,9,11,1,0,0,0,0,0
5297,10,11,1,0,0,0,0,0
5297,11,11,1,0,1,0,0,0
5297,12,11,1,0,0,0,0,0
5297,74,11,1,0,0,0,0,0
5297,75,11,1,0,0,0,0,0
5297,76,11,1,0,0,0,0,0
5297,79,11,1,0,0,0,0,0
5312,58,11,1,0,0,1,0,0
5312,90,11,1,0,0,0,0,0
5312,108,11,1,0,0,0,0,0
5312,112,11,1,0,0,0,0,0
5312,113,11,1,0,0,0,0,0
5312,114,11,1,0,0,0,0,0
5313,13,11,1,0,0,0,0,0
5313,15,11,1,0,0,0,0,0
5313,16,11,1,0,0,0,0,0
5313,21,11,1,0,0,0,0,0
5313,22,11,1,0,0,0,0,0
5313,23,11,1,0,0,0,0,0
5313,48,11,1,0,0,0,0,0
5313,49,11,1,0,0,0,0,0
5321,33,11,1,0,0,0,0,0
5321,43,11,1,0,0,0,0,0
5321,179,11,1,0,0,0,0,0
5321,180,11,1,0,0,1,0,0
5321,195,11,1,0,0,0,0,0
5321,211,11,1,0,0,0,0,0
5321,214,11,1,0,0,0,0,0
5330,35,11,1,0,0,0,0,0
5330,38,11,1,0,0,0,0,0
5330,45,11,1,0,0,0,0,0
5330,59,11,1,0,0,1,0,0
5330,62,11,1,0,0,0,0,0
5330,74,11,1,0,0,1,0,0
5330,106,11,1,0,1,0,0,0
5346,22,11,1,0,0,0,0,0
5346,66,11,2,0,0,0,0,0
5346,96,11,1,0,0,0,0,0
5354,27,11,1,0,0,0,0,0
5354,56,11,1,0,0,0,0,0
5354,70,11,1,0,0,0,0,0
5354,84,11,1,0,0,0,0,0
5354,99,11,1,0,0,0,0,0
5354,112,11,1,0,0,0,0,0
5354,126,11,1,0,0,0,0,0
5354,140,11,1,0,0,0,0,0
5361,8,11,1,0,0,0,0,0
5361,20,11,1,0,0,0,0,0
5361,33,11,1,0,0,0,0,0
5361,45,11,1,0,0,0,0,0
5361,82,11,1,0,0,0,0,0
5361,104,11,1,0,0,0,0,0
5362,4,11,1,0,0,0,0,0
5362,34,11,1,0,0,0,0,0
5362,49,11,1,0,0,0,0,0
5362,79,11,1,0,0,0,0,0
5362,95,11,1,0,0,0,0,0
5362,124,11,1,0,0,0,0,0
5366,17,11,1,0,0,0,0,0
5366,35,11,1,0,0,0,0,0
5366,55,11,1,0,0,0,0,0
5366,73,11,1,0,0,0,0,0
5366,91,11,1,0,0,0,0,0
5366,110,11,1,0,1,0,0,0
5394,76,11,1,0,0,0,0,0
5394,77,11,1,0,0,0,0,0
5394,80,11,1,0,0,0,0,0
5394,192,11,1,0,0,0,0,0
5394,193,11,1,0,0,0,0,0
5394,194,11,1,0,0,0,0,0
5394,207,11,1,0,0,0,0,0
5394,209,11,1,0,0,0,0,0
5395,67,11,1,0,0,0,0,0
5395,68,11,1,0,0,0,0,0
5395,70,11,1,0,0,0,0,0
5395,228,11,1,0,0,0,0,0
5395,229,11,1,0,0,0,0,0
5395,230,11,1,0,0,0,0,0
5395,231,11,1,0,0,0,0,0
5397,49,11,1,0,0,0,0,0
5397,60,11,1,0,0,0,0,0
5397,72,11,1,0,0,0,0,0
5397,106,11,1,0,0,0,0,0
5397,139,11,1,0,0,0,0,0
5406,4,11,1,0,0,0,0,0
5406,29,11,1,0,0,0,0,0
5406,35,11,1,0,0,0,0,0
5406,43,11,1,0,0,0,0,0
5406,51,11,1,0,0,0,0,0
5406,72,11,1,0,0,0,0,0
5409,95,11,1,0,0,0,0,0
5409,96,11,1,0,0,0,0,0
5409,97,11,1,0,0,0,0,0
5409,98,11,1,0,0,0,0,0
5409,254,11,1,0,0,0,0,0
5409,257,11,1,0,0,0,0,0
5409,258,11,1,0,0,0,0,0
5409,259,11,1,0,0,0,0,0
5423,4,11,1,0,0,0,0,0
5423,10,11,1,0,0,0,0,0
5423,24,11,1,0,0,0,0,1
5423,27,11,1,0,0,0,0,0
5423,35,11,1,0,0,0,0,0
5423,41,11,1,0,0,0,0,0
5423,52,11,1,0,0,0,0,0
5423,58,11,1,0,0,0,0,0
5424,113,11,1,1,0,0,0,0
5424,117,11,1,0,0,0,0,0
5424,119,11,1,1,0,0,0,0
5424,120,11,1,1,0,0,0,0
5424,198,11,1,1,0,0,0,0
5424,199,11,1,1,0,0,0,0
5424,201,11,1,1,0,0,0,0
5424,203,11,1,1,0,0,0,0
5427,1,11,1,0,0,0,0,0
5427,2,11,1,0,0,0,0,0
5427,3,11,1,0,0,0,0,0
5427,68,11,1,0,0,0,0,0
5427,70,11,1,0,0,0,0,0
5427,74,11,1,0,0,1,0,0
5427,76,11,1,0,0,1,0,0
5441,108,11,1,0,0,0,0,0
5441,112,11,1,0,0,0,0,0
5441,113,11,1,0,0,0,0,0
5441,114,11,1,0,0,0,0,0
5441,269,11,1,0,0,0,0,0
5441,270,11,1,0,0,0,0,0
5441,271,11,2,0,0,0,0,0
5441,273,11,1,0,0,0,0,0
5457,23,11,1,0,0,1,0,0
5457,24,11,1,0,0,0,0,0
5457,84,11,1,0,0,1,0,0
5457,85,11,1,0,0,0,0,0
5457,86,11,1,0,0,0,0,0
5457,87,11,1,0,0,0,0,0
5458,2,11,1,0,0,0,0,0
5458,10,11,1,0,0,1,0,0
5458,25,11,1,0,0,1,0,0
5458,34,11,1,0,0,1,0,0
5458,39,11,1,0,0,0,0,0
5458,49,11,1,0,0,0,0,0
5458,61,11,1,0,0,0,0,0
5459,8,11,1,0,0,0,0,0
5459,9,11,1,0,0,0,0,0
5459,10,11,1,0,0,0,0,0
5459,11,11,1,0,0,0,0,0
5459,140,11,1,0,0,0,0,0
5459,141,11,1,0,0,0,0,0
5459,163,11,1,0,0,0,0,0
5462,3,11,1,0,0,0,0,0
