conglome,vivienda,hogar,mieperho,percepho,pobreza,gashog2d,inghog2d,ubigeo,dependientes,ingreso_prom_perceptor,diferencia_ingreso_gasto,pobreza_etiqueta,pobreza_binaria,result,nbi1,nbi2,nbi3,nbi4,nbi5
10099,101,11,2,2,2,5024.15771484375,3692.84057617188,80606,0,153.868357340495,-1331.31713867187,not extreme poor,poor,1,0,0,1,0,0
10099,102,11,3,3,3,27582.83984375,22774.33203125,80606,0,632.6203342013889,-4808.5078125,not poor,not poor,1,0,0,1,0,0
10099,105,11,2,2,3,9788.20703125,13550.736328125,80606,0,564.614013671875,3762.529296875,not poor,not poor,1,0,0,1,0,0
10253,3,11,1,1,3,11647.5126953125,31536.0,150805,0,2628.0,19888.4873046875,not poor,not poor,2,0,0,0,0,0
10253,23,11,6,3,2,21770.7734375,49522.53515625,150805,3,1375.6259765625,27751.76171875,not extreme poor,poor,1,0,0,0,0,0
10253,61,11,5,3,2,23934.177734375,48789.81640625,150805,2,1355.272677951389,24855.638671875,not extreme poor,poor,2,0,0,0,0,0
10253,81,11,6,4,3,36723.61328125,50068.0546875,150805,2,1043.08447265625,13344.44140625,not poor,not poor,2,0,0,0,0,0
10253,98,11,1,1,3,16610.388671875,38500.8046875,150805,0,3208.400390625,21890.416015625,not poor,not poor,1,0,0,0,0,0
10253,118,11,7,5,2,29748.546875,37778.6171875,150805,2,629.6436197916667,8030.0703125,not extreme poor,poor,1,0,0,0,0,0
10293,21,11,6,2,1,8252.1298828125,13234.4287109375,160205,4,551.4345296223959,4982.298828125,extreme poor,poor,1,0,0,1,1,0
10293,24,11,1,1,3,4885.11865234375,5317.29638671875,160205,0,443.1080322265625,432.177734375,not poor,not poor,1,0,0,1,0,0
10293,94,11,6,2,1,6449.134765625,7661.02197265625,160205,4,319.20924886067706,1211.88720703125,extreme poor,poor,1,1,0,1,0,0
10293,95,11,5,2,1,7207.7607421875,8293.556640625,160205,3,345.5648600260417,1085.7958984375,extreme poor,poor,1,0,0,1,0,0
10293,96,11,10,3,1,9367.7705078125,8670.369140625,160205,7,240.84358723958334,-697.4013671875,extreme poor,poor,1,0,0,1,0,0
10293,98,11,5,1,1,2934.90673828125,3131.59643554688,160205,4,260.96636962890665,196.68969726563,extreme poor,poor,1,0,1,1,0,0
10338,3,11,1,1,3,29765.056640625,30180.369140625,211101,0,2515.03076171875,415.3125,not poor,not poor,2,0,0,0,0,0
10338,18,11,5,5,3,22430.490234375,20074.349609375,211101,0,334.57249348958334,-2356.140625,not poor,not poor,1,0,0,0,0,0
10338,32,11,1,1,3,9553.203125,17623.97265625,211101,0,1468.6643880208333,8070.76953125,not poor,not poor,2,0,0,0,0,0
10338,118,11,3,2,3,19102.173828125,24357.603515625,211101,1,1014.900146484375,5255.4296875,not poor,not poor,1,0,0,0,0,0
10427,16,11,11,4,2,40659.46875,81287.7265625,20801,7,1693.4943033854167,40628.2578125,not extreme poor,poor,1,0,0,0,0,0
10427,31,11,3,2,3,30544.791015625,33220.1015625,20801,1,1384.1708984375,2675.310546875,not poor,not poor,1,0,0,0,0,0
10427,59,11,4,3,3,41909.8984375,43444.58984375,20801,1,1206.794162326389,1534.69140625,not poor,not poor,1,0,0,0,0,0
10427,85,11,2,2,3,38426.93359375,39335.0078125,20801,0,1638.9586588541667,908.07421875,not poor,not poor,1,0,0,0,0,0
10427,99,11,4,1,3,33906.21484375,38995.74609375,20801,3,3249.6455078125,5089.53125,not poor,not poor,1,0,0,0,0,0
10427,111,11,4,4,3,50988.40234375,58660.73046875,20801,0,1222.0985514322917,7672.328125,not poor,not poor,1,0,0,0,0,0
10447,3,11,1,1,3,14042.931640625,11772.57421875,40208,0,981.0478515625,-2270.357421875,not poor,not poor,1,0,0,0,0,0
10447,14,11,2,2,3,11413.8349609375,17123.04296875,40208,0,713.4601236979166,5709.2080078125,not poor,not poor,1,0,0,0,0,0
10447,26,11,3,2,3,41644.43359375,37962.58984375,40208,1,1581.7745768229167,-3681.84375,not poor,not poor,1,0,0,0,0,0
10447,37,11,2,2,3,27623.283203125,12307.2939453125,40208,0,512.8039143880209,-15315.9892578125,not poor,not poor,1,0,0,0,0,0
